Greece,GRC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.21826638
Grenada,GRD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.72268748
Greenland,GRL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.60217946
Guatemala,GTM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.07064893
Guam,GUM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.63440681
Guyana,GUY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.37557463
High income,HIC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.68040146
"Hong Kong SAR, China",HKG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
Honduras,HND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.62885065
Heavily indebted poor countries (HIPC),HPC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",40.71816288
Croatia,HRV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.90177229
Haiti,HTI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.01982438
Hungary,HUN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.92604819
IBRD only,IBD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",52.02300872
IDA & IBRD total,IBT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",51.17696815
IDA total,IDA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",48.66030982
IDA blend,IDB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",57.16109317
Indonesia,IDN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.5026533
IDA only,IDX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",44.34911151
Isle of Man,IMN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
India,IND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",90.87321047
Not classified,INX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
Ireland,IRL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.208576735
"Iran, Islamic Rep.",IRN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",38.97876028
Iraq,IRQ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",61.63623571
Iceland,ISL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",6.481147263
Israel,ISR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.38110224
Italy,ITA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.75071194
Jamaica,JAM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.40415053
Jordan,JOR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",33.00608118
Japan,JPN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.70477819
Kazakhstan,KAZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.82428836
Kenya,KEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",28.57837427
Kyrgyz Republic,KGZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.73776806
Cambodia,KHM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.61429187
Kiribati,KIR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.64085586
St. Kitts and Nevis,KNA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
"Korea, Rep.",KOR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.03942539
Kuwait,KWT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",60.74515954
Latin America & Caribbean (excluding high income),LAC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.66406446
Lao PDR,LAO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.10953834
Lebanon,LBN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",30.62111051
Liberia,LBR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.98411246
Libya,LBY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",54.25468179
St. Lucia,LCA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.40081712
Latin America & Caribbean,LCN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.70843563
Least developed countries: UN classification,LDC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",45.28857235
Low income,LIC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",42.88245729
Liechtenstein,LIE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
Sri Lanka,LKA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.09961724
Lower middle income,LMC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",62.74331787
Low & middle income,LMY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",51.6542843
Lesotho,LSO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",28.02865352
Late-demographic dividend,LTE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",40.06277649
Lithuania,LTU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.85328236
Luxembourg,LUX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.3646374
Latvia,LVA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.42645752
"Macao SAR, China",MAC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
St. Martin (French part),MAF,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
Morocco,MAR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",32.59354146
Monaco,MCO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
Moldova,MDA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.25103271
Madagascar,MDG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.54228288
Maldives,MDV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.795820799
Middle East & North Africa,MEA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",55.66796618
Mexico,MEX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.92111579
Marshall Islands,MHL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.24133222
Middle income,MIC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",52.63830719
North Macedonia,MKD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",29.72694451
Mali,MLI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",38.52660616
Malta,MLT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.90954337
Myanmar,MMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",35.55745292
Middle East & North Africa (excluding high income),MNA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",53.85619423
Montenegro,MNE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.78181355
Mongolia,MNG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",40.11284905
Northern Mariana Islands,MNP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.892981129
Mozambique,MOZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.29869546
Mauritania,MRT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",47.42299178
Mauritius,MUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.45782732
Malawi,MWI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",23.56592147
Malaysia,MYS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.03580871
North America,NAC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.311074733
Namibia,NAM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.3587654
New Caledonia,NCL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
Niger,NER,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",94.05381768
Nigeria,NGA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",71.79817438
Nicaragua,NIC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.61418045
Netherlands,NLD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.03440807
Norway,NOR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",6.956519803
Nepal,NPL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",99.73437372
